areapermisoconcesion,codigodesesco,empresa_informante,participacion,geojson
LOS PERALES - LAS MESETAS,PER,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.12067124,-45.998625321],[-69.123598782,-46.118690816],[-68.892590624,-46.121830933],[-68.883913886,-46.3009422869999],[-68.880559009,-46.370196028],[-68.880638112,-46.370196065],[-69.002727659,-46.370253775],[-69.002714091,-46.332469878],[-69.1967698839999,-46.33227184],[-69.196769849,-46.3322700529999],[-69.196592016,-46.3232759799999],[-69.196592045,-46.3232759799999],[-69.3403223029999,-46.322915429],[-69.3402345229999,-46.30942313],[-69.483030454,-46.3088878899999],[-69.483029038,-46.308731544],[-69.4812377219999,-46.1109745799999],[-69.339464671,-46.111430777],[-69.2278637429999,-46.1117898859999],[-69.227682675,-46.111790469],[-69.227422425,-46.0452851209999],[-69.2274221339999,-46.0452107469999],[-69.19114289,-46.045282556],[-69.190991024,-46.045282857],[-69.190563084,-45.9986177769999],[-69.12067124,-45.998625321]]]]}"
EL GUADAL - LOMAS DEL CUY,CUY,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.196592045,-46.3232759799999],[-69.196769877,-46.3322700529999],[-69.196769849,-46.3322700529999],[-69.002714091,-46.332469878],[-69.002727681,-46.3702558799999],[-69.0027758849999,-46.50428296],[-69.0028035139999,-46.504282925],[-69.2002026869999,-46.504035394],[-69.2002656609999,-46.521182427],[-69.341610884,-46.520826762],[-69.3403223029999,-46.322915429],[-69.19659201,-46.323274193],[-69.196592045,-46.3232759799999]]]]}"
CAMPAMENTO CENTRAL - CAÑADON PERDIDO,CCC,YPF S.A.,<br> YPF S.A.: 50 %<br> ENAP SIPETROL ARGENTINA S.A.: 50 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.636370385,-45.7129066369999],[-67.636752811,-45.727062013],[-67.636752874,-45.7270643269999],[-67.5853874599999,-45.7277893639999],[-67.550643641,-45.72556336],[-67.542890241,-45.7248529089999],[-67.542864541,-45.730286916],[-67.5403039349999,-45.7324135609999],[-67.5277965129999,-45.732666922],[-67.5271924429999,-45.7605235189999],[-67.527900371,-45.7863815389999],[-67.4574752509999,-45.7869728009999],[-67.460143877,-45.789069157],[-67.4267364679999,-45.810836901],[-67.429099347,-45.8118111479999],[-67.433052867,-45.8132609359999],[-67.4330582169999,-45.8132629259999],[-67.434624038,-45.813845516],[-67.4378023089999,-45.814929509],[-67.4384939889999,-45.815400669],[-67.439994569,-45.8161834809999],[-67.4414500509999,-45.8169453749999],[-67.4419039379999,-45.816898408],[-67.446605753,-45.816365409],[-67.448054777,-45.816486915],[-67.450646099,-45.817055647],[-67.45235323,-45.817790198],[-67.4550028689999,-45.8195824389999],[-67.455835682,-45.8206310909999],[-67.4582964649999,-45.823250597],[-67.4617081609999,-45.827913337],[-67.4625582369999,-45.830147933],[-67.461601115,-45.834887608],[-67.464913324,-45.837685856],[-67.467311821,-45.8401414589999],[-67.4689679259999,-45.8433394539999],[-67.468910819,-45.845166881],[-67.468332596,-45.8470995009999],[-67.4750421109999,-45.8510701989999],[-67.475907407,-45.8561560919999],[-67.471745115,-45.863325123],[-67.4785258109999,-45.863541588],[-67.5218189399999,-45.864109952],[-67.521532757,-45.874902694],[-67.585914622,-45.8757087179999],[-67.5861881229999,-45.8649246649999],[-67.635097646,-45.865519449],[-67.6822669329999,-45.831884437],[-67.682268488,-45.7980013719999],[-67.670349544,-45.7978002899999],[-67.670384052,-45.792564361],[-67.6638937989999,-45.792902506],[-67.663899347,-45.7932084729999],[-67.615140072,-45.792726767],[-67.6153876129999,-45.7822121],[-67.611298988,-45.782189463],[-67.610545518,-45.770591951],[-67.637490339,-45.770682576],[-67.639006775,-45.725768611],[-67.659454151,-45.725920424],[-67.659324753,-45.6899748389999],[-67.646541396,-45.6898420809999],[-67.646559242,-45.686441315],[-67.6356445879999,-45.686041551],[-67.636370385,-45.7129066369999]],[[-67.612384735,-45.799950611],[-67.6141312239999,-45.8254785629999],[-67.5796305599999,-45.808230271],[-67.5791944649999,-45.800082457],[-67.612384735,-45.799950611]],[[-67.540247737,-45.8215361009999],[-67.533483941,-45.829196942],[-67.5266404189999,-45.8261936129999],[-67.523793054,-45.823341839],[-67.5296449209999,-45.8166040949999],[-67.540247737,-45.8215361009999]],[[-67.542644502,-45.8332187949999],[-67.5522141599999,-45.8226156059999],[-67.5677898719999,-45.829451897],[-67.5581850999999,-45.840035316],[-67.542644502,-45.8332187949999]]]]}"
CERRO PIEDRA - CERRO GUADAL NORTE,CPG,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.3402345229999,-46.30942313],[-69.342404546,-46.6377789979999],[-70.047456747,-46.633487386],[-70.043487004,-46.426616523],[-70.082509106,-46.426253786],[-70.077905276,-46.1923834839999],[-69.76185579,-46.1949348699999],[-69.76340784,-46.307373605],[-69.483029038,-46.308731544],[-69.3402345229999,-46.30942313]],[[-69.9803855339999,-46.53512726],[-69.8031251309999,-46.5364993329999],[-69.8013344239999,-46.415980619],[-69.9018061579999,-46.355844232],[-69.9771541169999,-46.35522694],[-69.9803855339999,-46.53512726]],[[-69.6134987729999,-46.366750719],[-69.614814704,-46.483693541],[-69.6538638019999,-46.483479668],[-69.654844931,-46.564434666],[-69.491830334,-46.565253512],[-69.490051216,-46.367358998],[-69.6134987729999,-46.366750719]]]]}"
RIO MAYO,RIM,YPF S.A.,<br> CAPETROL ARGENTINA S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.0709599964065,-45.8288870893675],[-70.040785622958,-45.8291659574429],[-70.0409627309451,-45.8386652030366],[-69.9820181522158,-45.8391870463449],[-69.9817371959147,-45.8232107430812],[-69.9082940799077,-45.8238182216335],[-69.908623732699,-45.8440768743481],[-69.8696997777224,-45.8443797831004],[-69.8703268183278,-45.8845734522029],[-69.7934515251676,-45.885133141681],[-69.7928990266686,-45.8462881139052],[-69.7396579987175,-45.8466451699385],[-69.7321907946693,-45.8603506733447],[-69.7187063320314,-45.8771616194131],[-69.715190752651,-45.8852629192482],[-69.6951213083016,-45.8895433486464],[-69.6899321112778,-45.8949819420628],[-70.0721732277121,-45.8920345588477],[-70.0709599964065,-45.8288870893675]]]]}"
LOS MONOS,MON,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.648259921,-45.9986659429999],[-69.6501037199999,-46.1561089419999],[-69.883104537,-46.1545454119999],[-69.881984195,-46.0843789859999],[-69.897498518,-46.084267212],[-69.897090184,-46.0590717219999],[-69.959109924,-46.058569867],[-69.958954203,-46.0495745059999],[-69.909866536,-46.049977634],[-69.9090245959999,-45.9986364179999],[-69.648259921,-45.9986659429999]]]]}"
ESCALANTE - EL TREBOL,SCA,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.7408035989999,-45.717395814],[-67.71753124,-45.7263230739999],[-67.717300354,-45.748750479],[-67.715411289,-45.748747264],[-67.7153699949999,-45.749988404],[-67.7910172219999,-45.7504631309999],[-67.7905803579999,-45.765330806],[-67.7556831599999,-45.7651269789999],[-67.75539466,-45.793698704],[-67.6823488869999,-45.7927895789999],[-67.682341004,-45.798034812],[-67.6823266329999,-45.8319176429999],[-67.736279182,-45.832509161],[-67.735423172,-45.870287193],[-67.767613715,-45.870638952],[-67.768090623,-45.849051287],[-67.793170518,-45.850218658],[-67.7944868289999,-45.848882987],[-67.824100903,-45.8487417699999],[-67.8732080679999,-45.8555345579999],[-67.991394196,-45.8456626449999],[-67.973648377,-45.837587223],[-67.975808367,-45.719744481],[-67.7408035989999,-45.717395814]]]]}"
RESTINGA ALI,ALI,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.3618041399999,-45.666359508],[-67.361697065,-45.6687508649999],[-67.3596269339999,-45.674354496],[-67.3588417129999,-45.676745855],[-67.3586275599999,-45.6806362729999],[-67.359448474,-45.6829205569999],[-67.360697692,-45.6860971359999],[-67.361340147,-45.687667581],[-67.361673271,-45.6917840479999],[-67.362149163,-45.6944609409999],[-67.361613785,-45.698565512],[-67.360340774,-45.70162312],[-67.3594960629999,-45.703372023],[-67.3586989459999,-45.705894252],[-67.3575211099999,-45.7080476639999],[-67.355796002,-45.710331947],[-67.354380222,-45.710349793],[-67.352512346,-45.711135015],[-67.3501090899999,-45.7117060849999],[-67.349561814,-45.7131575559999],[-67.348895565,-45.7132884279999],[-67.346230567,-45.7129553029999],[-67.344683919,-45.7130385839999],[-67.343813036,-45.713752421],[-67.32982366,-45.7143582269999],[-67.2318390999999,-45.715456976],[-67.293513753,-45.82773472],[-67.392977846,-45.894043138],[-67.434301695,-45.947514374],[-67.5027460219999,-45.923709559],[-67.5564255309999,-45.9333194349999],[-67.5507452419999,-45.9233464509999],[-67.5461766769999,-45.917007567],[-67.543092895,-45.9146661779999],[-67.537382188,-45.913238502],[-67.5316143749999,-45.9097549699999],[-67.5237336009999,-45.903358979],[-67.520764033,-45.900789161],[-67.516195468,-45.8970772019999],[-67.512711936,-45.892965493],[-67.508086264,-45.885598682],[-67.5062588389999,-45.8832572919999],[-67.5027182009999,-45.8803448319999],[-67.501518953,-45.879374012],[-67.4994059909999,-45.8754907319999],[-67.489812004,-45.870008453],[-67.483473121,-45.8658967439999],[-67.4785258109999,-45.863541588],[-67.471745115,-45.863325123],[-67.475907407,-45.8561560919999],[-67.4750421109999,-45.8510701989999],[-67.468332596,-45.8470995009999],[-67.468910819,-45.845166881],[-67.4689679259999,-45.8433394539999],[-67.467311821,-45.8401414589999],[-67.464913324,-45.837685856],[-67.461601115,-45.834887608],[-67.461952239,-45.8331489359999],[-67.4625582369999,-45.830147933],[-67.4617081609999,-45.827913337],[-67.4582964649999,-45.823250597],[-67.455835682,-45.8206310909999],[-67.4550028689999,-45.8195824389999],[-67.45235323,-45.817790198],[-67.450646099,-45.817055647],[-67.448054777,-45.816486915],[-67.446605753,-45.816365409],[-67.4419039379999,-45.816898408],[-67.4414500509999,-45.8169453749999],[-67.439994569,-45.8161834809999],[-67.439371443,-45.815857291],[-67.4384939889999,-45.815400669],[-67.4378023089999,-45.814929509],[-67.434624038,-45.813845516],[-67.434459018,-45.813789232],[-67.4330582169999,-45.8132629259999],[-67.4310403269999,-45.81250477],[-67.429099347,-45.8118111479999],[-67.4267364679999,-45.810836901],[-67.4230963909999,-45.807379612],[-67.420383804,-45.804095955],[-67.417207226,-45.800562457],[-67.415458321,-45.7998843089999],[-67.412674351,-45.799527392],[-67.406927954,-45.797992638],[-67.405892888,-45.7960652749999],[-67.4059642729999,-45.7941379119999],[-67.405643046,-45.7926031599999],[-67.403929832,-45.790640104],[-67.4008960199999,-45.7887127399999],[-67.397719439,-45.787320756],[-67.394757011,-45.7863927659999],[-67.392080116,-45.7864284579999],[-67.387618628,-45.787249372],[-67.3821934549999,-45.788998276],[-67.379088259,-45.790069033],[-67.3765541339999,-45.7912111749999],[-67.3687019129999,-45.7869757349999],[-67.367274236,-45.7810746709999],[-67.365418258,-45.7784572639999],[-67.366465219,-45.775744679],[-67.370389678,-45.7725899879999],[-67.37255664,-45.770652632],[-67.373889138,-45.769224954],[-67.372984941,-45.765512996],[-67.372128338,-45.765132282],[-67.372223514,-45.76222934],[-67.372746997,-45.76032577],[-67.368284318,-45.754610305],[-67.372053384,-45.7528970939999],[-67.375879558,-45.750327275],[-67.377992518,-45.7451876389999],[-67.37776409,-45.741133039],[-67.379363089,-45.7367929009999],[-67.376736163,-45.731253517],[-67.373195526,-45.7284552689999],[-67.3645152519999,-45.725428596],[-67.359247734,-45.7244037679999],[-67.423094216,-45.723500174],[-67.424705575,-45.6681197139999],[-67.516987742,-45.668613793],[-67.517058216,-45.6712221349999],[-67.5465870629999,-45.671635881],[-67.547082835,-45.68962377],[-67.512596785,-45.688553782],[-67.549147664,-45.714828009],[-67.5497650619999,-45.724790503],[-67.5823270019999,-45.725129446],[-67.5823447659999,-45.714717865],[-67.585329072,-45.7147190539999],[-67.585353222,-45.6922502749999],[-67.614493147,-45.692286149],[-67.614473456,-45.7254648589999],[-67.636752811,-45.727062013],[-67.636756906,-45.727062307],[-67.636370385,-45.7129066369999],[-67.6356365889999,-45.686032638],[-67.592272021,-45.6855072769999],[-67.590719174,-45.6854884639999],[-67.5907171219999,-45.685488439],[-67.5921923659999,-45.621181602],[-67.342982798,-45.6229263559999],[-67.34538586,-45.623207983],[-67.3512750249999,-45.6306319],[-67.3568072739999,-45.639590571],[-67.3601623129999,-45.649905535],[-67.3616613729999,-45.6598278869999],[-67.3618041399999,-45.666359508]]]]}"
PICO TRUNCADO - EL CORDON,PTC,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.827599788,-46.6854051729999],[-67.825309514,-46.792819632],[-67.880291071,-46.793467941],[-67.880042402,-46.8038104189999],[-68.1656606559999,-46.8062481589999],[-68.1676114529999,-46.6803373669999],[-68.006871603,-46.6790487809999],[-68.006590097,-46.694333634],[-67.9568886719999,-46.6938382449999],[-67.957279996,-46.674998468],[-67.9174259059999,-46.624754786],[-67.872114215,-46.6237826619999],[-67.8313428559999,-46.6369034209999],[-67.831335591,-46.6369057589999],[-67.827599941,-46.68539799],[-67.827599788,-46.6854051729999]]]]}"
CAÑADON YATEL,YAT,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.490051216,-46.367358998],[-69.491830334,-46.565253512],[-69.654844931,-46.564434666],[-69.6538638019999,-46.483479668],[-69.614814704,-46.483693541],[-69.6134987729999,-46.366750719],[-69.490051216,-46.367358998]]]]}"
CAÑADON VASCO,CVA,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.2002656609999,-46.521182427],[-69.20157841,-46.696611826],[-69.342794908,-46.6962479169999],[-69.341610884,-46.520826762],[-69.2002656609999,-46.521182427]]]]}"
MANANTIALES BEHR,BEH,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.5952270299999,-45.50514592],[-67.590719174,-45.6854884639999],[-67.590719173,-45.685488506],[-67.592272021,-45.6855072769999],[-67.647826529,-45.6861788109999],[-67.678116538,-45.68095505],[-67.7442042339999,-45.681700737],[-67.743898179,-45.695373203],[-67.740689204,-45.695337872],[-67.740836235,-45.717382722],[-67.975840884,-45.719731367],[-67.9756600329999,-45.729626641],[-68.0838803,-45.730545747],[-68.084723142,-45.678926503],[-68.1569276,-45.6785346],[-68.159437302,-45.510691873],[-67.5952270299999,-45.50514592]]]]}"
SEÑAL CERRO BAYO,CBY,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.772551186,-37.663029567],[-68.7725568719999,-37.663029579],[-68.772663842,-37.626975123],[-68.772770717,-37.590952371],[-68.744463213,-37.5908856569999],[-68.670878257,-37.590712234],[-68.6705569009999,-37.6627887989999],[-68.772551186,-37.663029567]]]]}"
LLANCANELO,LLA,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.265115279,-35.613475331],[-69.233580499,-35.61353401],[-69.233580465,-35.61353401],[-69.233618373,-35.6270512369999],[-69.161392773,-35.627178192],[-69.1615696499999,-35.715052531],[-69.2653750759999,-35.714859857],[-69.265115279,-35.613475331]]]]}"
CHIHUIDO DE LA SIERRA NEGRA,CSN,YPF S.A.,<br> COMPAÑIA DE DESARROLLO NO CONVENCIONAL S.R.L.: 7 %<br> YPF S.A.: 93 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.071286425,-37.220365785],[-69.07130238,-37.2370311349999],[-69.071302421,-37.2370734949999],[-69.1952639369999,-37.236933978],[-69.19526789,-37.236933974],[-69.195339987,-37.264866067],[-69.152500225,-37.2649289999999],[-69.152682322,-37.3550327949999],[-69.1188209979999,-37.355071655],[-69.00143113,-37.285751981],[-69.00143113,-37.285748257],[-69.001430312,-37.242502116],[-69.001426383,-37.242502116],[-68.948222162,-37.242500283],[-68.9372175999999,-37.2424999039999],[-68.937217602,-37.242500798],[-68.937546211,-37.369580699],[-68.937546213,-37.3695816319999],[-68.937153063,-37.3693893569999],[-68.937085553,-37.369356346],[-68.937085512,-37.369356335],[-68.929961974,-37.368872648],[-68.925572363,-37.370303405],[-68.9255723209999,-37.370303399],[-68.919051591,-37.3703098949999],[-68.9077071409999,-37.3726235199999],[-68.898963006,-37.3743876779999],[-68.893972316,-37.375759209],[-68.891124573,-37.376583034],[-68.885629034,-37.378743029],[-68.884403145,-37.380561019],[-68.883936706,-37.3826375519999],[-68.8823382419999,-37.384392314],[-68.8810758769999,-37.3855767049999],[-68.879467888,-37.3868621239999],[-68.878882512,-37.387453845],[-68.876159945,-37.389157589],[-68.873538912,-37.39080361],[-68.871044121,-37.3912580639999],[-68.869597835,-37.3916687729999],[-68.867179869,-37.392212475],[-68.863658086,-37.3925558769999],[-68.8636051409999,-37.423173333],[-68.8635873819999,-37.433443096],[-68.942680732,-37.4335079109999],[-68.942663545,-37.456034088],[-69.1687341149999,-37.4559257129999],[-69.168516435,-37.3613184559999],[-69.45069839,-37.360623108],[-69.44991821,-37.229931226],[-69.1682060589999,-37.230668212],[-69.1680964889999,-37.1777116719999],[-69.1680811479999,-37.1702972799999],[-69.168066972,-37.170297294],[-69.071305738,-37.1703959079999],[-69.071238584,-37.170395976],[-69.071286425,-37.220365785]]]]}"
OCTOGONO,OCT,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.1146991529999,-38.9250434739999],[-69.1161610789999,-38.927829548],[-69.116161043,-38.927829548],[-69.1161502849999,-38.9278295519999],[-69.130432548,-38.954845882],[-69.172250102,-38.9683708389999],[-69.172174883,-38.9369614939999],[-69.2730957219999,-38.9367722379999],[-69.276888351,-38.927076423],[-69.2376963359999,-38.9240241969999],[-69.2376963,-38.9240241959999],[-69.2359260489999,-38.922652999],[-69.2342049709999,-38.9213198909999],[-69.234090793,-38.921104564],[-69.226948133,-38.907634319],[-69.2163866989999,-38.887731709],[-69.216386676,-38.887731666],[-69.173470907,-38.8738373369999],[-69.173470858,-38.8738373579999],[-69.130551381,-38.887713681],[-69.112690495,-38.9212153669999],[-69.11269047,-38.921215414],[-69.1146991529999,-38.9250434739999]]]]}"
DON RUIZ,DRU,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.803383293,-37.572621757],[-68.8033610319999,-37.5810873999999],[-68.7444959599999,-37.5809800709999],[-68.744463213,-37.5908856569999],[-68.744463196,-37.5908908649999],[-68.772770717,-37.590952371],[-68.772776398,-37.5909523829999],[-68.772663842,-37.626975123],[-68.772551186,-37.663029567],[-68.67055461,-37.662795112],[-68.670644819,-37.642885592],[-68.600946401,-37.642681238],[-68.600828545,-37.664700651],[-68.6155860379999,-37.6647496689999],[-68.615497395,-37.682146229],[-68.765122896,-37.682532828],[-68.7651227439999,-37.6825817829999],[-68.7650387579999,-37.7095635749999],[-68.7650938639999,-37.7095636679999],[-68.819378554,-37.709655751],[-68.819442002,-37.709655859],[-68.819597039,-37.645100993],[-68.819771039,-37.572650617],[-68.803383293,-37.572621757]]]]}"
SEÑAL PICADA - PUNTA BARDA,SPR,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4379718179999,-37.542648371],[-68.4379053179999,-37.5424545879999],[-68.434919894,-37.5438456599999],[-68.432447622,-37.544564873],[-68.429153506,-37.54528032],[-68.425830406,-37.5461195939999],[-68.42080615,-37.5470426589999],[-68.418327538,-37.5482897009999],[-68.4155428719999,-37.547701715],[-68.413289215,-37.548145822],[-68.408509887,-37.550542235],[-68.404836194,-37.5521921759999],[-68.401741648,-37.547459642],[-68.39766329,-37.544436714],[-68.393273113,-37.542520329],[-68.383865881,-37.5420291689999],[-68.371574884,-37.5419612319999],[-68.368302813,-37.5424451809999],[-68.3660069159999,-37.543593871],[-68.361584415,-37.5452538759999],[-68.359849622,-37.545726042],[-68.356132316,-37.545746376],[-68.355355486,-37.54547539],[-68.3530140679999,-37.546694729],[-68.348810703,-37.547574083],[-68.3458593839999,-37.547176115],[-68.34321957,-37.5463156279999],[-68.333391061,-37.544393616],[-68.3282195099999,-37.5437668669999],[-68.3255667179999,-37.541722379],[-68.3230947489999,-37.5402426209999],[-68.31863837,-37.5397058999999],[-68.313462612,-37.5406213969999],[-68.3091389259999,-37.54187924],[-68.305835261,-37.542974452],[-68.302148033,-37.5447973949999],[-68.2978700469999,-37.54830155],[-68.2923679799999,-37.553333333],[-68.28899448,-37.5548182709999],[-68.286927737,-37.555971843],[-68.2829517069999,-37.5576277869999],[-68.277300455,-37.5595339889999],[-68.270377508,-37.5635019279999],[-68.267766094,-37.564648741],[-68.2641331459999,-37.567003014],[-68.2601626699999,-37.568103745],[-68.255818951,-37.568983626],[-68.2547420179999,-37.569146136],[-68.254275706,-37.570744238],[-68.252317007,-37.572492557],[-68.251454962,-37.573061931],[-68.248567943,-37.5740615349999],[-68.240751104,-37.577790712],[-68.225041581,-37.582593529],[-68.214413141,-37.584453063],[-68.205111331,-37.5850340539999],[-68.1922758159999,-37.5853489519999],[-68.184027978,-37.581915091],[-68.176060934,-37.580573213],[-68.165311303,-37.578728714],[-68.1527771189999,-37.5792826799999],[-68.14016183,-37.581603693],[-68.12800019,-37.5848111879999],[-68.11888343,-37.587638168],[-68.105457922,-37.590753472],[-68.091751941,-37.587754134],[-68.0814425679999,-37.5879959809999],[-68.067534778,-37.593193804],[-68.0564680639999,-37.5893267079999],[-68.0370961479999,-37.591019618],[-68.020173547,-37.594659464],[-68.007982484,-37.599542844],[-67.986576194,-37.601933973],[-67.959815121,-37.60019075],[-67.943885327,-37.601398828],[-67.934255991,-37.6034028199999],[-67.925099028,-37.6076617059999],[-67.908692849,-37.609923298],[-67.893001026,-37.6082494139999],[-67.84880061,-37.616334595],[-67.836754973,-37.62129687],[-67.810942086,-37.641817757],[-67.796746712,-37.641881323],[-67.791339921,-37.6464673409999],[-67.7819983809999,-37.6533886289999],[-67.77824372,-37.660344986],[-67.7710737529999,-37.6658183979999],[-67.765233495,-37.6764301969999],[-67.978781645,-37.696707815],[-67.9790459549999,-37.67867152],[-68.079327254,-37.679496179],[-68.079018624,-37.704727417],[-68.074932007,-37.7100974589999],[-68.146420427,-37.7106358029999],[-68.145934212,-37.752976577],[-68.36376602,-37.754322319],[-68.364079021,-37.720130147],[-68.472916874,-37.720654393],[-68.473499859,-37.6404611259999],[-68.4557311189999,-37.589933108],[-68.4379718179999,-37.542648371]]]]}"
